Tire Brand,Tire Size,Condition,Location,Latitude,Longitude,Pincode,Recycling Date,Tire Type,Recycling Method,Recycled Product,Recycling Facility
Michelin,215/60R16,Scrap,Magarpatta City,77.585482,37.117616,60181,2023-03-25,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility A
Michelin,225/50R17,Scrap,Camp,-86.7241235,104.335213,67363,2023-05-20,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility B
Pirelli,225/50R17,Scrap,Hadapsar,-81.729930,-161.521897,68764,2022-10-21,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility B
Bridgestone,225/45R17,Used,Bavdhan,-58.8558125,84.615219,38141,2022-12-19,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility A
Michelin,225/50R17,Used,Kothrud,0.0130425,-141.173699,08761,2022-10-02,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility A
Goodyear,225/45R17,Used,Shivajinagar,37.7780945,-177.880935,40778,2023-03-16,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility A
Goodyear,205/55R16,Used,Vishrantwadi,2.1964795,142.672172,91206,2023-09-21,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility B
Michelin,205/55R16,Used,Aundh,21.1053585,-159.645752,25508,2022-10-13,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility A
Michelin,215/60R16,Scrap,Koregaon Park,-82.9152465,-160.412467,93139,2023-08-11,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility B
Continental,205/55R16,Scrap,Koregaon Park,-56.668830,61.113151,94132,2023-01-19,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility B
Goodyear,225/50R17,Used,Magarpatta City,63.7978855,-129.387377,88688,2023-08-05,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility B
Goodyear,215/60R16,Scrap,Kalyani Nagar,39.362436,-68.110762,93656,2022-12-21,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility B
Michelin,205/55R16,Used,Magarpatta City,41.410571,11.042665,23255,2023-02-07,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility B
Bridgestone,235/45R17,Scrap,Shivane,-49.0297395,-67.497108,81455,2023-07-04,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility B
Goodyear,225/45R17,Scrap,Shivajinagar,33.1963105,-139.475614,91445,2023-08-15,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility B
Pirelli,235/45R17,Used,Kothrud,-71.510783,-48.723800,08600,2023-02-13,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility A
Continental,225/45R17,Used,Kothrud,43.8894475,66.460959,24541,2023-01-23,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility A
Goodyear,205/55R16,Used,Magarpatta City,-1.633366,-82.808342,83429,2023-04-14,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility A
Bridgestone,205/55R16,Used,Shivajinagar,-66.1282715,-24.622116,28936,2022-11-07,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility B
Goodyear,215/60R16,Scrap,Vishrantwadi,-11.1521175,-174.816252,72905,2023-05-10,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility A
Pirelli,225/45R17,Used,Hinjewadi,3.675003,-46.352144,28118,2023-05-24,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility B
Continental,215/60R16,Used,Hadapsar,81.294495,99.164694,12152,2023-05-26,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility B
Continental,225/50R17,Used,Kharadi,3.331333,-68.994759,50321,2023-08-10,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility B
Pirelli,205/55R16,Used,Hinjewadi,-43.1892185,179.354359,48911,2022-12-15,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility A
Michelin,205/55R16,Scrap,Vishrantwadi,-10.9400425,170.503457,79213,2022-10-20,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility A
Goodyear,205/55R16,Scrap,Hadapsar,54.1982975,-141.822608,25443,2023-07-04,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility A
Continental,225/45R17,Scrap,Shivane,-15.200103,-125.487142,72204,2022-10-24,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility A
Continental,215/60R16,Scrap,Koregaon Park,1.163970,29.060529,55720,2022-10-23,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility A
Pirelli,235/45R17,Scrap,Kalyani Nagar,15.1030955,-176.614596,43983,2023-02-09,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility B
Pirelli,235/45R17,Used,Kalyani Nagar,7.540693,-144.824595,12328,2023-06-06,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility B
Michelin,205/55R16,Scrap,Hinjewadi,-76.3547575,1.450518,46307,2023-09-23,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility B
Michelin,215/60R16,Scrap,Camp,-37.541963,-153.361654,26814,2022-12-03,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility B
Pirelli,225/50R17,Scrap,Magarpatta City,73.5538505,72.623188,88398,2023-05-12,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility B
Pirelli,215/60R16,Scrap,Shivane,-51.386790,-148.878174,89268,2023-01-27,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility B
Michelin,205/55R16,Scrap,Shivane,-16.4262685,21.781882,19655,2023-04-06,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility A
Continental,235/45R17,Used,Koregaon Park,-65.0488755,-153.749039,23850,2022-12-30,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility A
Pirelli,235/45R17,Scrap,Aundh,-12.0600295,-150.812935,83801,2022-10-12,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility B
Continental,205/55R16,Scrap,Shivajinagar,-46.8505365,10.688239,99120,2023-08-28,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility B
Pirelli,235/45R17,Used,Deccan,23.9768955,-60.763119,09952,2023-05-19,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility A
Michelin,225/45R17,Scrap,Aundh,-43.012882,-4.694190,02931,2023-05-24,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility A
Bridgestone,215/60R16,Used,Kothrud,-6.805936,11.992458,97467,2022-12-23,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility B
Pirelli,225/50R17,Scrap,Kharadi,12.5807345,-54.605453,81126,2023-08-25,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility B
Pirelli,225/50R17,Scrap,Kothrud,-19.2535305,93.208943,99433,2022-11-16,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility B
Pirelli,225/50R17,Used,Kalyani Nagar,-40.0898365,50.411248,30123,2023-02-02,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility A
Bridgestone,235/45R17,Scrap,Vishrantwadi,-47.3592175,-52.344544,11231,2023-03-23,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility B
Michelin,225/50R17,Scrap,Deccan,-31.9577885,106.886999,83975,2023-07-30,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility A
Goodyear,225/45R17,Used,Hadapsar,-21.7301335,28.097240,55604,2023-02-21,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility A
Michelin,205/55R16,Used,Koregaon Park,-29.5061705,15.406317,37825,2023-03-09,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility B
Bridgestone,235/45R17,Used,Koregaon Park,-26.1205555,151.723656,05073,2023-04-09,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility A
Bridgestone,205/55R16,Scrap,Koregaon Park,-59.898494,-146.474440,17045,2023-07-22,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility B
Goodyear,225/45R17,Used,Shivajinagar,-64.112257,80.438595,58350,2023-03-24,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility A
Continental,235/45R17,Used,Deccan,35.2497385,27.810171,79676,2023-04-17,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility A
Michelin,215/60R16,Used,Koregaon Park,-69.014838,-7.561640,14561,2023-03-05,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility A
Michelin,215/60R16,Used,Koregaon Park,-24.2166755,49.348442,59906,2022-10-03,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility A
Pirelli,215/60R16,Used,Aundh,53.684355,-108.500970,71933,2023-08-09,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility B
Continental,205/55R16,Used,Shivane,-35.1115705,-172.271466,93008,2022-11-17,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility A
Michelin,215/60R16,Scrap,Kalyani Nagar,74.8269735,-111.893908,56930,2023-06-09,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility B
Bridgestone,225/45R17,Used,Kharadi,75.900167,-124.696686,24779,2022-12-31,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility A
Goodyear,205/55R16,Scrap,Camp,-64.171154,-0.585709,49492,2022-11-21,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility A
Pirelli,225/50R17,Used,Koregaon Park,-9.413656,5.725800,22709,2022-12-14,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility A
Pirelli,205/55R16,Used,Magarpatta City,62.3763535,87.837267,02049,2023-03-23,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility B
Bridgestone,225/50R17,Scrap,Camp,37.685183,107.484746,16477,2023-04-07,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility B
Goodyear,225/45R17,Used,Kothrud,-52.083762,-169.087944,00585,2023-06-20,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility B
Michelin,205/55R16,Used,Hadapsar,-10.5708105,42.075092,31510,2023-04-12,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility A
Bridgestone,205/55R16,Used,Kharadi,-66.5933095,131.020175,54979,2023-09-10,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility A
Goodyear,225/45R17,Scrap,Magarpatta City,54.473799,82.185062,78783,2022-10-13,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility A
Goodyear,235/45R17,Used,Kharadi,55.3695975,-0.349392,65993,2022-11-16,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility B
Michelin,235/45R17,Used,Kothrud,74.9860415,98.500903,06783,2023-07-02,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility B
Michelin,235/45R17,Scrap,Aundh,-75.032565,-66.208133,18617,2023-06-06,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility A
Continental,225/45R17,Scrap,Shivane,-32.4906125,145.532190,17181,2023-03-24,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility A
Michelin,225/50R17,Scrap,Kothrud,-47.948538,6.193546,34876,2023-01-14,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility B
Continental,205/55R16,Used,Bavdhan,39.6142625,6.390055,02098,2022-12-04,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility A
Michelin,235/45R17,Scrap,Kharadi,-71.8795435,55.292049,45637,2023-05-03,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility A
Pirelli,225/45R17,Used,Koregaon Park,-58.3547965,-141.689158,43548,2023-06-20,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility B
Goodyear,225/45R17,Scrap,Kharadi,-31.5459195,-55.291252,54881,2023-05-07,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility B
Goodyear,235/45R17,Scrap,Vishrantwadi,74.171829,-41.318489,70397,2023-08-01,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility B
Pirelli,225/45R17,Used,Kharadi,-39.8677845,-9.283870,92121,2022-12-03,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility B
Goodyear,225/50R17,Used,Shivane,86.4110105,172.553450,38126,2023-07-04,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility B
Bridgestone,225/50R17,Scrap,Deccan,-26.3231255,43.465414,73278,2022-09-25,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility B
Pirelli,235/45R17,Scrap,Magarpatta City,-28.5578835,-138.701086,07862,2022-12-03,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility B
Pirelli,225/50R17,Scrap,Bavdhan,-76.322439,176.004698,08955,2023-05-16,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility A
Michelin,235/45R17,Scrap,Hadapsar,-15.543019,119.019126,58521,2023-09-02,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility B
Pirelli,225/45R17,Scrap,Vishrantwadi,55.4017575,-7.808477,67498,2023-05-10,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility B
Pirelli,215/60R16,Scrap,Bavdhan,15.733238,126.754209,40312,2022-12-08,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility B
Pirelli,225/50R17,Scrap,Aundh,-72.1928185,93.123591,86108,2023-04-10,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility B
Michelin,225/45R17,Used,Magarpatta City,-44.9101595,-78.151892,81592,2023-06-02,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility A
Goodyear,225/45R17,Used,Bavdhan,-17.0852525,-49.322279,74399,2022-12-18,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility A
Michelin,225/45R17,Scrap,Koregaon Park,-30.359052,1.308801,26751,2023-01-05,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility B
Goodyear,225/45R17,Used,Shivajinagar,59.0214795,30.402500,02525,2022-10-04,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility B
Pirelli,215/60R16,Scrap,Hadapsar,88.059448,-39.307551,04017,2023-06-13,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility B
Michelin,225/45R17,Scrap,Hinjewadi,-85.6044095,-18.831052,70285,2023-08-23,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility A
Goodyear,235/45R17,Used,Deccan,-19.6423165,82.337000,18050,2023-09-04,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility A
Continental,205/55R16,Scrap,Hinjewadi,-72.8258485,106.362320,21824,2023-01-19,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility B
Michelin,225/50R17,Scrap,Vishrantwadi,0.304338,54.871106,77907,2022-11-25,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility B
Goodyear,215/60R16,Scrap,Hadapsar,-87.3342725,-71.686968,07442,2022-12-02,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility B
Michelin,235/45R17,Used,Camp,16.1102605,1.261947,08821,2023-01-17,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility A
Michelin,215/60R16,Used,Vishrantwadi,70.855462,160.230556,02824,2023-02-08,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility B
Michelin,215/60R16,Used,Aundh,75.0155905,39.045623,24809,2023-06-05,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility A
Continental,225/50R17,Scrap,Vishrantwadi,53.4229915,-124.230793,04802,2023-03-16,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility B
Bridgestone,235/45R17,Used,Kalyani Nagar,-65.121038,163.456299,85352,2023-04-10,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility B
Michelin,225/45R17,Scrap,Aundh,-46.1208895,-16.700494,48788,2023-05-16,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility B
Goodyear,225/50R17,Scrap,Bavdhan,-34.333461,11.292117,87517,2023-07-13,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility A
Bridgestone,225/50R17,Used,Koregaon Park,34.015812,-60.124121,21833,2023-02-18,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility A
Pirelli,225/45R17,Used,Vishrantwadi,82.2804645,-119.716543,03111,2023-02-03,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility B
Bridgestone,235/45R17,Scrap,Shivajinagar,34.7068715,9.571528,49268,2022-11-13,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility B
Michelin,215/60R16,Scrap,Kothrud,-68.542861,-132.281312,87764,2023-09-07,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility B
Continental,225/50R17,Scrap,Kharadi,-79.6994105,14.133398,59707,2023-05-05,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility A
Bridgestone,225/45R17,Used,Koregaon Park,-32.470827,-127.011478,78595,2022-10-14,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility A
Bridgestone,205/55R16,Used,Koregaon Park,36.544644,-16.784604,66388,2023-03-28,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility B
Goodyear,235/45R17,Scrap,Kharadi,-63.542597,2.015245,43442,2022-12-19,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility B
Michelin,235/45R17,Used,Camp,-1.1946725,66.502049,04747,2023-03-27,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility B
Goodyear,205/55R16,Scrap,Aundh,40.2174865,-90.000944,61247,2022-10-06,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility A
Pirelli,235/45R17,Scrap,Camp,-24.362303,-135.622550,25957,2022-10-16,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility B
Continental,225/45R17,Used,Bavdhan,55.4562415,-44.733672,06312,2022-11-28,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility B
Continental,225/50R17,Used,Shivajinagar,6.505686,159.601961,72386,2023-08-20,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility B
Continental,215/60R16,Scrap,Shivajinagar,-58.252407,100.171378,97208,2023-05-24,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility A
Goodyear,225/45R17,Scrap,Hadapsar,0.2597165,155.142415,72806,2023-04-30,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility A
Bridgestone,225/45R17,Scrap,Magarpatta City,19.243038,-52.383475,68193,2023-09-14,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility A
Goodyear,225/45R17,Used,Hadapsar,54.0228985,-123.729803,49612,2023-06-13,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility A
Bridgestone,215/60R16,Used,Kothrud,67.511016,48.572995,96294,2023-01-11,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility A
Pirelli,225/50R17,Scrap,Shivajinagar,-3.048193,130.412571,44829,2022-10-19,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility A
Bridgestone,225/45R17,Scrap,Aundh,-66.2252005,140.372930,30515,2023-08-27,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility A
Bridgestone,235/45R17,Scrap,Shivane,15.4504305,58.273063,50962,2023-05-12,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility A
Bridgestone,225/50R17,Scrap,Hinjewadi,-79.7562225,110.929403,21730,2023-05-23,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility B
Bridgestone,225/45R17,Used,Hinjewadi,-3.223137,131.498766,88338,2022-12-02,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility A
Michelin,205/55R16,Scrap,Hadapsar,-43.5350175,-79.896449,05406,2023-06-22,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility A
Pirelli,215/60R16,Used,Vishrantwadi,-63.7244655,62.838712,44634,2022-10-16,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility B
Pirelli,205/55R16,Scrap,Shivane,76.849901,-95.176934,68531,2023-09-14,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility A
Bridgestone,235/45R17,Scrap,Shivajinagar,-58.363251,106.346287,34290,2023-04-05,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility B
