Tire Brand,Tire Size,Condition,Location,Latitude,Longitude,Pincode,Recycling Date,Tire Type,Recycling Method,Recycled Product,Recycling Facility,Tread_Depths,Odometer_Reading,Age,DOT Date Code
Bridgestone,235/45R17,Scrap,Kothrud,18.50625,73.81486,24456,27-01-2023,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility A,0,60000,7,DOTWXYZ56780124
Michelin,235/45R17,Scrap,Kharadi,18.550985,73.934982,23879,18-07-2023,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility A, 1/7,4000,8,DOTIJKL34562719
Continental,215/60R16,Scrap,Bavdhan,18.54085,73.76065,6346,18-10-2022,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility A, 1/8,24000,1,DOTWXYZ56780124
Continental,225/50R17,Used,Shivajinagar,20.11784,79.029121,35050,30-01-2023,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility B, 1/7,69000,8,DOTWXYZ56780124
Continental,225/45R17,Used,Kharadi,18.550985,73.934982,4481,1/1/2023,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility B,0,7000,12,DOTMNOP78901520
Bridgestone,215/60R16,Used,Camp,18.512231,73.88601,21420,28-11-2022,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility A, 1/7,51000,1,DOTWXYZ56780124
Pirelli,235/45R17,Scrap,Kalyani Nagar,18.5481,73.9033,36483,3/7/2023,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility B,0,51000,11,DOTIJKL34562719
Michelin,205/55R16,Scrap,Kothrud,18.50625,73.81486,20904,4/3/2023,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility A,0,7000,3,DOTIJKL34562719
Michelin,215/60R16,Scrap,Hadapsar,18.496668,73.941666,15488,2/4/2023,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility B,0,7000,12,DOTIJKL34562719
Bridgestone,225/45R17,Scrap,Deccan,17,77,26947,7/1/2023,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility A, 1/8,7000,10,DOTMNOP78901520
Goodyear,215/60R16,Scrap,Kharadi,18.550985,73.934982,60735,17-07-2023,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility A,0,65000,9,DOTIJKL34562719
Michelin,225/50R17,Scrap,Kharadi,18.550985,73.934982,88561,5/6/2023,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility B, 1/8,83000,3,DOTABCD12343523
Bridgestone,225/45R17,Used,Camp,18.512231,73.88601,12587,19-09-2023,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility B,0,7000,12,DOTMNOP78901520
Continental,235/45R17,Scrap,Koregaon Park,18.536207,73.893974,65040,24-07-2023,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility B, 1/6,69000,11,DOTEFGH90124822
Bridgestone,235/45R17,Used,Bavdhan,18.54085,73.76065,52446,30-11-2022,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility A,0,21500,11,DOTEFGH90124822
Michelin,225/45R17,Used,Aundh,18.562622,73.808723,49223,5/2/2023,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility A, 1/6,60000,4,DOTMNOP78901520
Pirelli,205/55R16,Scrap,Kothrud,18.50625,73.81486,4007,30-05-2023,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility B, 1/6,16500,2,DOTWXYZ56780124
Bridgestone,225/45R17,Scrap,Camp,18.512231,73.88601,2618,23-12-2022,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility A, 1/7,16500,4,DOTABCD12343523
Pirelli,215/60R16,Scrap,Camp,18.512231,73.88601,7925,25-12-2022,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility B, 1/7,7000,5,DOTIJKL34562719
Michelin,215/60R16,Used,Shivajinagar,20.11784,79.029121,23365,17-04-2023,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility A, 1/6,54000,3,DOTWXYZ56780124
Michelin,215/60R16,Scrap,Hadapsar,18.496668,73.941666,40747,2/2/2023,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility B,0,51000,10,DOTIJKL34562719
Continental,225/45R17,Scrap,Vishrantwadi,18.57856,73.87741,43252,22-07-2023,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility A, 1/8,54000,11,DOTIJKL34562719
Continental,225/50R17,Used,Deccan,17,77,77926,13-06-2023,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility A, 1/8,54000,1,DOTEFGH90124822
Bridgestone,235/45R17,Scrap,Shivane,18.5759,73.8931,18143,29-08-2023,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility A, 1/8,83000,11,DOTIJKL34562719
Goodyear,225/45R17,Used,Camp,18.512231,73.88601,5934,8/5/2023,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility A,0,83000,11,DOTEFGH90124822
Pirelli,205/55R16,Used,Kalyani Nagar,18.5481,73.9033,9331,25-12-2022,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility B,0,69000,9,DOTWXYZ56780124
Goodyear,205/55R16,Used,Hadapsar,18.496668,73.941666,34875,16-02-2023,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility A, 1/6,16500,7,DOTABCD12343523
Pirelli,225/45R17,Scrap,Hadapsar,18.496668,73.941666,47737,5/9/2023,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility B,0,7000,9,DOTMNOP78901520
Bridgestone,215/60R16,Used,Hinjewadi,18.593617,73.730133,67410,28-01-2023,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility B, 1/7,21500,10,DOTEFGH90124822
Pirelli,225/50R17,Used,Bavdhan,18.54085,73.76065,88433,7/12/2022,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility A, 1/8,54000,10,DOTWXYZ56780124
Goodyear,235/45R17,Used,Bavdhan,18.54085,73.76065,79881,19-05-2023,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility B,0,51000,7,DOTEFGH90124822
Michelin,225/45R17,Used,Magarpatta City,18.515806,73.927164,8023,26-05-2023,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility B, 1/7,60000,5,DOTEFGH90124822
Pirelli,225/50R17,Scrap,Hinjewadi,18.593617,73.730133,95310,10/3/2023,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility A, 1/8,69000,2,DOTMNOP78901520
Pirelli,205/55R16,Used,Deccan,17,77,85593,21-12-2022,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility A,0,24000,10,DOTEFGH90124822
Michelin,225/50R17,Scrap,Hadapsar,18.496668,73.941666,31123,3/11/2022,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility B, 1/7,60000,2,DOTEFGH90124822
Bridgestone,215/60R16,Scrap,Aundh,18.562622,73.808723,50021,21-04-2023,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility B, 1/8,7000,5,DOTMNOP78901520
Bridgestone,225/45R17,Used,Bavdhan,18.54085,73.76065,56578,20-04-2023,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility A, 1/8,24000,8,DOTMNOP78901520
Michelin,205/55R16,Scrap,Hadapsar,18.496668,73.941666,47721,3/1/2023,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility A,0,51000,6,DOTMNOP78901520
Goodyear,225/45R17,Scrap,Magarpatta City,18.515806,73.927164,98651,6/8/2023,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility A, 1/7,65000,6,DOTMNOP78901520
Continental,205/55R16,Scrap,Camp,18.512231,73.88601,17426,13-11-2022,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility B,0,7000,2,DOTABCD12343523
Michelin,215/60R16,Scrap,Hadapsar,18.496668,73.941666,85080,14-07-2023,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility A,0,24000,1,DOTABCD12343523
Continental,205/55R16,Used,Kothrud,18.50625,73.81486,66413,11/6/2023,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility A, 1/8,83000,4,DOTMNOP78901520
Michelin,235/45R17,Scrap,Vishrantwadi,18.57856,73.87741,23358,16-08-2023,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility B,0,4000,3,DOTWXYZ56780124
Pirelli,205/55R16,Scrap,Vishrantwadi,18.57856,73.87741,90668,24-01-2023,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility A, 1/8,65000,1,DOTMNOP78901520
Bridgestone,235/45R17,Used,Koregaon Park,18.536207,73.893974,66397,11/4/2023,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility A, 1/8,65000,5,DOTWXYZ56780124
Pirelli,225/50R17,Scrap,Magarpatta City,18.515806,73.927164,37354,1/3/2023,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility B, 1/6,7000,9,DOTIJKL34562719
Michelin,225/45R17,Used,Shivajinagar,20.11784,79.029121,23514,2/12/2022,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility B, 1/7,69000,9,DOTWXYZ56780124
Bridgestone,225/45R17,Scrap,Aundh,18.562622,73.808723,68875,9/2/2023,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility B, 1/8,54000,5,DOTMNOP78901520
Pirelli,225/50R17,Scrap,Koregaon Park,18.536207,73.893974,25662,17-02-2023,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility A,0,4000,7,DOTMNOP78901520
Goodyear,225/50R17,Scrap,Koregaon Park,18.536207,73.893974,65379,21-06-2023,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility A,0,24000,12,DOTIJKL34562719
Continental,225/50R17,Scrap,Bavdhan,18.54085,73.76065,44434,9/4/2023,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility A, 1/8,54000,7,DOTIJKL34562719
Continental,205/55R16,Used,Shivane,18.5759,73.8931,41270,14-03-2023,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility A, 1/6,4000,9,DOTEFGH90124822
Goodyear,225/45R17,Scrap,Camp,18.512231,73.88601,55969,4/10/2022,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility B, 1/8,16500,10,DOTMNOP78901520
Goodyear,225/45R17,Used,Kalyani Nagar,18.5481,73.9033,79907,25-03-2023,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility B, 1/8,16500,5,DOTWXYZ56780124
Pirelli,215/60R16,Used,Vishrantwadi,18.57856,73.87741,76876,31-05-2023,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility A, 1/8,65000,10,DOTEFGH90124822
Michelin,225/50R17,Used,Magarpatta City,18.515806,73.927164,43135,22-11-2022,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility B,0,4000,1,DOTEFGH90124822
Bridgestone,225/50R17,Used,Shivajinagar,20.11784,79.029121,48136,19-06-2023,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility A,0,16500,2,DOTWXYZ56780124
Continental,225/45R17,Scrap,Koregaon Park,18.536207,73.893974,25257,12/12/2022,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility A, 1/8,7000,1,DOTWXYZ56780124
Michelin,205/55R16,Used,Koregaon Park,18.536207,73.893974,81088,23-03-2023,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility A, 1/6,24000,12,DOTWXYZ56780124
Pirelli,215/60R16,Used,Kalyani Nagar,18.5481,73.9033,27589,19-01-2023,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility A, 1/7,69000,2,DOTABCD12343523
Pirelli,225/50R17,Scrap,Shivane,18.5759,73.8931,13729,15-02-2023,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility B, 1/8,60000,12,DOTMNOP78901520
Continental,215/60R16,Scrap,Aundh,18.562622,73.808723,59949,31-01-2023,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility B,0,21500,10,DOTMNOP78901520
Michelin,225/50R17,Scrap,Shivane,18.5759,73.8931,10825,4/7/2023,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility A, 1/7,54000,8,DOTIJKL34562719
Bridgestone,235/45R17,Used,Kothrud,18.50625,73.81486,80294,12/8/2023,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility A,0,24000,1,DOTMNOP78901520
Michelin,225/45R17,Scrap,Kothrud,18.50625,73.81486,2343,10/6/2023,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility B, 1/7,51000,5,DOTIJKL34562719
Pirelli,225/50R17,Scrap,Shivane,18.5759,73.8931,81448,26-09-2023,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility B, 1/8,4000,11,DOTMNOP78901520
Goodyear,225/50R17,Scrap,Deccan,17,77,91349,26-08-2023,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility B, 1/8,51000,1,DOTABCD12343523
Pirelli,215/60R16,Scrap,Aundh,18.562622,73.808723,79624,26-12-2022,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility B,0,83000,2,DOTIJKL34562719
Continental,225/50R17,Scrap,Koregaon Park,18.536207,73.893974,23498,12/2/2023,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility B, 1/7,51000,3,DOTWXYZ56780124
Michelin,205/55R16,Scrap,Koregaon Park,18.536207,73.893974,24354,13-06-2023,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility A,0,24000,12,DOTABCD12343523
Continental,215/60R16,Used,Kharadi,18.550985,73.934982,4806,26-11-2022,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility B,0,7000,7,DOTMNOP78901520
Michelin,225/50R17,Used,Bavdhan,18.54085,73.76065,28404,26-05-2023,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility B,0,21500,9,DOTIJKL34562719
Pirelli,235/45R17,Scrap,Vishrantwadi,18.57856,73.87741,52252,7/6/2023,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility B, 1/7,7000,1,DOTWXYZ56780124
Continental,225/50R17,Scrap,Bavdhan,18.54085,73.76065,14740,14-04-2023,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility B, 1/6,60000,8,DOTMNOP78901520
Bridgestone,215/60R16,Used,Magarpatta City,18.515806,73.927164,41200,16-03-2023,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility B, 1/6,69000,5,DOTMNOP78901520
Pirelli,215/60R16,Used,Deccan,17,77,95874,26-05-2023,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility B,0,83000,1,DOTABCD12343523
Goodyear,225/45R17,Scrap,Magarpatta City,18.515806,73.927164,85393,29-08-2023,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility B, 1/7,65000,7,DOTMNOP78901520
Goodyear,235/45R17,Scrap,Camp,18.512231,73.88601,76704,4/12/2022,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility A, 1/8,51000,5,DOTABCD12343523
Continental,225/50R17,Used,Kalyani Nagar,18.5481,73.9033,38507,3/9/2023,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility A,0,69000,1,DOTMNOP78901520
Goodyear,215/60R16,Used,Hadapsar,18.496668,73.941666,72308,15-12-2022,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility B,0,51000,3,DOTEFGH90124822
Bridgestone,225/45R17,Scrap,Hadapsar,18.496668,73.941666,27226,26-09-2023,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility B, 1/7,21500,12,DOTABCD12343523
Michelin,235/45R17,Used,Vishrantwadi,18.57856,73.87741,28813,16-01-2023,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility A, 1/7,69000,8,DOTWXYZ56780124
Michelin,225/45R17,Used,Kothrud,18.50625,73.81486,15443,22-10-2022,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility A,0,7000,2,DOTWXYZ56780124
Michelin,235/45R17,Used,Kharadi,18.550985,73.934982,99386,18-12-2022,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility B, 1/7,54000,4,DOTWXYZ56780124
Bridgestone,215/60R16,Used,Kharadi,18.550985,73.934982,75290,5/12/2022,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility A, 1/7,83000,8,DOTIJKL34562719
Michelin,225/45R17,Used,Vishrantwadi,18.57856,73.87741,90426,23-11-2022,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility A,0,60000,2,DOTABCD12343523
Continental,235/45R17,Scrap,Aundh,18.562622,73.808723,83005,11/4/2023,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility B, 1/8,24000,9,DOTEFGH90124822
Michelin,225/45R17,Scrap,Kalyani Nagar,18.5481,73.9033,3521,31-05-2023,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility A,0,83000,9,DOTWXYZ56780124
Pirelli,215/60R16,Used,Vishrantwadi,18.57856,73.87741,38679,11/2/2023,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility A, 1/7,16500,10,DOTEFGH90124822
Michelin,225/50R17,Scrap,Koregaon Park,18.536207,73.893974,50316,8/4/2023,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility A,0,24000,8,DOTMNOP78901520
Continental,235/45R17,Scrap,Kothrud,18.50625,73.81486,26998,8/9/2023,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility B,0,7000,7,DOTEFGH90124822
Goodyear,235/45R17,Scrap,Magarpatta City,18.515806,73.927164,13005,26-06-2023,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility B, 1/8,83000,1,DOTIJKL34562719
Continental,225/50R17,Used,Shivajinagar,20.11784,79.029121,72197,15-09-2023,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility B,0,54000,5,DOTEFGH90124822
Pirelli,205/55R16,Scrap,Kalyani Nagar,18.5481,73.9033,94344,20-11-2022,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility B, 1/6,60000,3,DOTABCD12343523
Michelin,225/45R17,Used,Kalyani Nagar,18.5481,73.9033,98078,6/3/2023,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility A,0,83000,4,DOTABCD12343523
Goodyear,235/45R17,Used,Aundh,18.562622,73.808723,72157,26-12-2022,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility B, 1/8,83000,12,DOTIJKL34562719
Bridgestone,225/50R17,Scrap,Hinjewadi,18.593617,73.730133,21999,5/4/2023,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility B,0,7000,10,DOTIJKL34562719
Pirelli,225/50R17,Scrap,Kothrud,18.50625,73.81486,59121,11/1/2023,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility A,0,16500,4,DOTEFGH90124822
Pirelli,225/45R17,Scrap,Hadapsar,18.496668,73.941666,63120,2/12/2022,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility A,0,16500,9,DOTABCD12343523
Bridgestone,225/50R17,Scrap,Hadapsar,18.496668,73.941666,89284,13-07-2023,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility B, 1/7,7000,10,DOTABCD12343523
Pirelli,235/45R17,Scrap,Kalyani Nagar,18.5481,73.9033,45958,24-08-2023,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility A, 1/7,4000,11,DOTEFGH90124822
Goodyear,215/60R16,Used,Kalyani Nagar,18.5481,73.9033,79251,29-05-2023,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility A, 1/6,21500,11,DOTMNOP78901520
Bridgestone,225/50R17,Scrap,Shivajinagar,20.11784,79.029121,19461,4/3/2023,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility B, 1/6,54000,1,DOTEFGH90124822
Continental,215/60R16,Used,Hadapsar,18.496668,73.941666,36481,27-10-2022,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility B,0,24000,12,DOTMNOP78901520
Goodyear,225/50R17,Scrap,Kalyani Nagar,18.5481,73.9033,99820,3/9/2023,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility B, 1/8,21500,11,DOTWXYZ56780124
Bridgestone,225/45R17,Used,Hadapsar,18.496668,73.941666,84875,26-05-2023,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility A, 1/6,65000,5,DOTABCD12343523
Continental,235/45R17,Used,Kalyani Nagar,18.5481,73.9033,51266,31-03-2023,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility A, 1/7,83000,12,DOTIJKL34562719
Bridgestone,225/45R17,Scrap,Kharadi,18.550985,73.934982,90164,19-09-2023,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility B,0,16500,6,DOTWXYZ56780124
Pirelli,225/45R17,Scrap,Aundh,18.562622,73.808723,27251,21-09-2023,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility A,0,7000,5,DOTMNOP78901520
Michelin,225/50R17,Scrap,Shivane,18.5759,73.8931,27899,27-02-2023,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility A, 1/8,21500,10,DOTWXYZ56780124
Goodyear,215/60R16,Used,Hinjewadi,18.593617,73.730133,19478,27-09-2022,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility A, 1/7,69000,11,DOTMNOP78901520
Pirelli,235/45R17,Used,Hinjewadi,18.593617,73.730133,23477,10/3/2023,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility B, 1/6,21500,11,DOTIJKL34562719
Goodyear,215/60R16,Scrap,Kharadi,18.550985,73.934982,5738,8/10/2022,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility A, 1/8,60000,12,DOTEFGH90124822
Goodyear,215/60R16,Scrap,Magarpatta City,18.515806,73.927164,53779,20-03-2023,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility B,0,21500,3,DOTABCD12343523
Continental,215/60R16,Used,Magarpatta City,18.515806,73.927164,53845,19-03-2023,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility B,0,65000,2,DOTMNOP78901520
Bridgestone,235/45R17,Scrap,Shivane,18.5759,73.8931,24762,12/11/2022,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility A, 1/6,16500,7,DOTWXYZ56780124
Continental,225/45R17,Used,Vishrantwadi,18.57856,73.87741,20116,29-05-2023,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility A, 1/8,69000,1,DOTWXYZ56780124
Bridgestone,225/50R17,Scrap,Magarpatta City,18.515806,73.927164,85036,28-11-2022,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility B, 1/6,69000,12,DOTMNOP78901520
Bridgestone,205/55R16,Scrap,Koregaon Park,18.536207,73.893974,51642,23-07-2023,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility B, 1/7,69000,2,DOTWXYZ56780124
Continental,215/60R16,Scrap,Deccan,17,77,61021,4/9/2023,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility A,0,7000,3,DOTIJKL34562719
Michelin,225/45R17,Scrap,Hinjewadi,18.593617,73.730133,18145,16-02-2023,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility A, 1/6,83000,8,DOTIJKL34562719
Pirelli,205/55R16,Scrap,Kothrud,18.50625,73.81486,34178,17-10-2022,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility B, 1/8,4000,11,DOTMNOP78901520
Pirelli,225/50R17,Scrap,Shivajinagar,20.11784,79.029121,90694,30-01-2023,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility B, 1/8,60000,7,DOTEFGH90124822
Michelin,235/45R17,Used,Shivajinagar,20.11784,79.029121,44679,10/10/2022,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility B,0,16500,11,DOTEFGH90124822
Michelin,215/60R16,Used,Camp,18.512231,73.88601,31689,19-04-2023,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility A, 1/6,16500,7,DOTEFGH90124822
Pirelli,215/60R16,Used,Kalyani Nagar,18.5481,73.9033,7808,22-11-2022,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility A,0,4000,1,DOTMNOP78901520
Michelin,205/55R16,Used,Koregaon Park,18.536207,73.893974,63352,9/7/2023,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility A, 1/8,54000,11,DOTABCD12343523
